rect,N,M,estimate,rel_error
wide,100,8,0.72,0.237705771003
wide,600,75,1.125,0.191084732808
wide,1100,102,0.834545454545,0.116431689117
wide,1600,153,0.860625,0.0888201794016
wide,2100,221,0.947142857143,0.00277990838345
wide,2600,314,1.08692307692,0.150771095698
wide,3100,313,0.908709677419,0.0379109125961
wide,3600,383,0.9575,0.013745450368
wide,4100,430,0.943902439024,0.000650858326615
wide,4600,493,0.964565217391,0.0212256926514
wide,5100,536,0.945882352941,0.00144535966322
wide,5600,593,0.953035714286,0.00901892365054
wide,6100,646,0.953114754098,0.00910260641865
wide,6600,684,0.932727272727,0.0124824760716
wide,7100,709,0.898732394366,0.0484742810579
wide,7600,814,0.963947368421,0.0205715500064
wide,8100,839,0.932222222222,0.0130171942457
wide,8600,874,0.914651162791,0.0316204125818
wide,9100,945,0.934615384615,0.0104834527438
wide,9600,992,0.93,0.0153699542117
wide,10100,1091,0.972178217822,0.0292858958368
wide,10600,1172,0.995094339623,0.0535481561143
wide,11100,1130,0.916216216216,0.0299634248119
wide,11600,1236,0.958965517241,0.0152970550008
wide,12100,1259,0.936446280992,0.00854500588048
wide,12600,1336,0.954285714286,0.0103423511314
wide,13100,1458,1.00167938931,0.0605200246929
wide,13600,1404,0.929117647059,0.0163041383159
wide,14100,1456,0.929361702128,0.0160457469679
wide,14600,1596,0.983835616438,0.0416280731848
wide,15100,1577,0.939933774834,0.00485264972777
wide,15600,1585,0.914423076923,0.031861896666
wide,16100,1748,0.977142857143,0.034542167925
wide,16600,1782,0.966144578313,0.0228978283685
wide,17100,1781,0.937368421053,0.00756869748222
wide,17600,1878,0.960340909091,0.0167532400973
wide,18100,1802,0.896022099448,0.0513437840792
wide,18600,1904,0.921290322581,0.024591255369
wide,19100,2028,0.955602094241,0.0117360578578
wide,19600,2078,0.954183673469,0.010234316235
wide,20100,2079,0.930895522388,0.0144218270612
wide,20600,2157,0.942378640777,0.00226416750769
wide,21100,2074,0.884644549763,0.0633896736134
wide,21600,2291,0.954583333333,0.0106574529126
wide,22100,2310,0.9407239819,0.00401602433036
wide,22600,2316,0.922300884956,0.0235213305543
wide,23100,2474,0.963896103896,0.0205172741015
wide,23600,2447,0.933177966102,0.0120053080738
wide,24100,2621,0.978796680498,0.0362931401463
wide,24600,2582,0.944634146341,0.000123830930496
wide,25100,2632,0.94374501992,0.000817524541292
wide,25600,2622,0.921796875,0.0240549470551
wide,26100,2668,0.92,0.0259573740589
wide,26600,2842,0.961578947368,0.0180640032004
wide,27100,2788,0.925904059041,0.0197064988724
wide,27600,2868,0.935217391304,0.00984608298711
wide,28100,3000,0.960854092527,0.0172965689467
wide,28600,3025,0.951923076923,0.00784092776095
wide,29100,3024,0.935257731959,0.00980337264259
wide,29600,3164,0.962027027027,0.0185384039475
wide,30100,3162,0.945448504983,0.000986026615321
wide,30600,3334,0.980588235294,0.038189934427
wide,31100,3265,0.944855305466,0.000357981381199
wide,31600,3215,0.915664556962,0.0305474896256
wide,32100,3311,0.928317757009,0.0171510154944
wide,32600,3501,0.966533742331,0.0233098526533
wide,33100,3462,0.941329305136,0.00337514320661
wide,33600,3445,0.922767857143,0.0230269274941
wide,34100,3569,0.941964809384,0.00270230817756
wide,34600,3533,0.918988439306,0.0270283558354
wide,35100,3727,0.955641025641,0.0117772761657
wide,35600,3746,0.94702247191,0.0026524514832
wide,36100,3897,0.971551246537,0.0286220950148
wide,36600,3843,0.945,0.000511175559052
wide,37100,3900,0.946091644205,0.0016669451111
wide,37600,3895,0.932313829787,0.0129202054705
wide,38100,4068,0.96094488189,0.0173926914571
wide,38600,4080,0.951295336788,0.00717631292399
wide,39100,4095,0.942583120205,0.00204767655235
wide,39600,4310,0.979545454545,0.0370858986675
wide,40100,4137,0.928503740648,0.0169541068073
wide,40600,4287,0.950320197044,0.00614389153686
wide,41100,4327,0.947518248175,0.00317735063006
wide,41600,4314,0.933317307692,0.0118577812817
wide,42100,4419,0.944679334917,0.000171673972503
wide,42600,4545,0.960211267606,0.0166159832139
wide,43100,4514,0.942598607889,0.00203127909103
wide,43600,4566,0.94252293578,0.0021113963297
wide,44100,4618,0.942448979592,0.00218969685094
wide,44600,4636,0.935515695067,0.00953025626911
wide,45100,4739,0.945698447894,0.00125065166811
wide,45600,4670,0.921710526316,0.0241463680324
wide,46100,4785,0.934164859002,0.0109604431257
wide,46600,5012,0.967982832618,0.0248440653795
wide,47100,5093,0.973184713376,0.0303515149373
wide,47600,5017,0.948592436975,0.00431463941172
wide,48100,4871,0.911413721414,0.0350480276907
wide,48600,5104,0.945185185185,0.000707238889555
wide,49100,5106,0.935926680244,0.00909512900698
wide,49600,5209,0.945181451613,0.000703285999828
wide,50100,5271,0.946886227545,0.00250820385358
wide,50600,5422,0.964387351779,0.0210373788596
wide,51100,5317,0.936457925636,0.00853267720669
wide,51600,5437,0.948313953488,0.0040197972526
wide,52100,5541,0.957178502879,0.0134050678681
wide,52600,5527,0.945684410646,0.00123578984517
wide,53100,5516,0.934915254237,0.0101659681851
wide,53600,5727,0.961623134328,0.0181107857901
wide,54100,5774,0.960554528651,0.016979408094
wide,54600,5693,0.938406593407,0.00646954082371
wide,55100,5735,0.936751361162,0.00822200469602
wide,55600,5837,0.944838129496,0.000339796460806
wide,56100,5862,0.940427807487,0.00432959661707
wide,56600,5891,0.936731448763,0.00824308678809
wide,57100,5860,0.923642732049,0.0221006606995
wide,57600,5989,0.93578125,0.00924910211257
wide,58100,6102,0.945232358003,0.000757182732782
wide,58600,6185,0.949914675768,0.00571454913583
wide,59100,6289,0.957715736041,0.0139738591718
wide,59600,6397,0.965989932886,0.0227340987618
wide,60100,6346,0.950316139767,0.00613959592707
wide,60600,6275,0.931930693069,0.0133258483996
wide,61100,6398,0.942422258592,0.00221798749485
wide,61600,6486,0.94762987013,0.0032955294799
wide,62100,6529,0.946231884058,0.00181542293153
wide,62600,6528,0.938530351438,0.00633851300023
wide,63100,6518,0.929667194929,0.0157223089135
wide,63600,6874,0.972735849057,0.0298762834371
wide,64100,6693,0.939734789392,0.00506332397047
wide,64600,6707,0.934411764706,0.0106990336909
wide,65100,6749,0.933041474654,0.0121498172997
wide,65600,6882,0.944176829268,0.000360349855198
wide,66100,6872,0.93567322239,0.00936347547845
wide,66600,6954,0.93972972973,0.0050686808469
wide,67100,6934,0.930044709389,0.0153226185045
wide,67600,7059,0.939807692308,0.00498613859237
wide,68100,7218,0.953920704846,0.0099559003126
wide,68600,7296,0.957201166181,0.0134290624571
wide,69100,7203,0.938162083936,0.00672841326554
wide,69600,7212,0.932586206897,0.0126318283892
wide,70100,7515,0.964835948645,0.021512327196
wide,70600,7367,0.939135977337,0.00569731143349
wide,71100,7498,0.949113924051,0.0048667596734
wide,71600,7526,0.946005586592,0.00157583230346
wide,72100,7552,0.942690707351,0.00193376952355
wide,72600,7695,0.953925619835,0.0099611040177
wide,73100,7623,0.93853625171,0.00633226613424
wide,73600,7883,0.963953804348,0.0205783639922
wide,74100,7682,0.933036437247,0.0121551506144
wide,74600,7901,0.953203753351,0.00919683366425
wide,75100,7907,0.947576564581,0.00323909265683
wide,75600,7897,0.940119047619,0.00465649365207
wide,76100,8047,0.951681997372,0.00758568671844
wide,76600,7954,0.93454308094,0.0105600036806
wide,77100,7970,0.930350194553,0.0149991885361
wide,77600,8164,0.946855670103,0.00247585140698
wide,78100,8261,0.951971830986,0.0078925457342
wide,78600,8168,0.935267175573,0.00979337429222
wide,79100,8254,0.939140328698,0.00569270446518
wide,79600,8267,0.934711055276,0.0103821621983
wide,80100,8511,0.956292134831,0.0124666328022
wide,80600,8476,0.946451612903,0.00204805908526
wide,81100,8560,0.949938347719,0.00573961162415
wide,81600,8565,0.944669117647,0.000160856519991
wide,82100,8718,0.95568818514,0.0118272059073
wide,82600,8720,0.950121065375,0.00593306247837
wide,83100,8877,0.961407942238,0.0178829528895
wide,83600,8743,0.941232057416,0.00347810345035
wide,84100,8771,0.938632580262,0.00623027905232
wide,84600,8941,0.951170212766,0.00704383886902
wide,85100,9060,0.958166862515,0.0144514857104
wide,85600,9052,0.951728971963,0.00763542068987
wide,86100,9057,0.946724738676,0.00233722880796
wide,86600,9148,0.950715935335,0.00656287628002
wide,87100,9011,0.931102181401,0.014203028488
wide,87600,9066,0.931438356164,0.0138471061515
wide,88100,9106,0.930238365494,0.0151175866558
wide,88600,9212,0.935756207675,0.0092756154735
wide,89100,9326,0.94202020202,0.00264366166814
wide,89600,9463,0.950524553571,0.00636025237195
wide,90100,9420,0.940954495006,0.00377197042796
wide,90600,9562,0.949867549669,0.00566465475619
wide,91100,9667,0.955027442371,0.0111276497966
wide,91600,9460,0.929475982533,0.015924753505
wide,92100,9592,0.937328990228,0.00761044455174
wide,92600,9649,0.937807775378,0.00710353461182
wide,93100,9769,0.944371643394,0.000154091960884
wide,93600,9792,0.941538461538,0.0031537005419
wide,94100,10036,0.959872476089,0.0162572904115
wide,94600,9778,0.930253699789,0.015101351594
wide,95100,9971,0.943627760252,0.000941672274868
wide,95600,10177,0.958085774059,0.0143656339574
wide,96100,10051,0.941300728408,0.00340539858837
wide,96600,10115,0.942391304348,0.00225076005326
wide,97100,10277,0.952554067971,0.00850898447554
wide,97600,10327,0.952284836066,0.00822393735347
wide,98100,10333,0.947981651376,0.00366797505477
wide,98600,10206,0.931582150101,0.0136948654732
wide,99100,10393,0.943864783047,0.000690726290402
wide,99600,10458,0.945,0.000511175559052
narrow,100,78,0.78,0.17418125192
narrow,600,479,0.798333333333,0.1547709822
narrow,1100,848,0.770909090909,0.183806179053
narrow,1600,1242,0.77625,0.178151534362
narrow,2100,1660,0.790476190476,0.163089669222
narrow,2600,2024,0.778461538462,0.175810085742
narrow,3100,2448,0.789677419355,0.163935361745
narrow,3600,2821,0.783611111111,0.170358016975
narrow,4100,3191,0.778292682927,0.175988860186
narrow,4600,3584,0.779130434783,0.175101897124
narrow,5100,3991,0.782549019608,0.171482497841
narrow,5600,4339,0.774821428571,0.179664022912
narrow,6100,4746,0.778032786885,0.176264023037
narrow,6600,5160,0.781818181818,0.172256266493
narrow,7100,5537,0.77985915493,0.174330370509
narrow,7600,6001,0.789605263158,0.16401175654
narrow,8100,6307,0.778641975309,0.175619049677
narrow,8600,6808,0.791627906977,0.161870298609
narrow,9100,7109,0.781208791209,0.172901453916
narrow,9600,7557,0.7871875,0.166571543904
narrow,10100,7983,0.790396039604,0.163174528316
narrow,10600,8381,0.790660377358,0.162894662837
narrow,11100,8703,0.784054054054,0.169889054684
narrow,11600,9092,0.783793103448,0.170165334046
narrow,12100,9546,0.788925619835,0.164731323461
narrow,12600,9952,0.789841269841,0.163761886356
narrow,13100,10322,0.787938931298,0.165775972041
narrow,13600,10668,0.784411764706,0.169510331399
narrow,14100,11116,0.788368794326,0.165320858005
narrow,14600,11411,0.781575342466,0.172513370711
narrow,15100,11804,0.781721854305,0.172358252476
narrow,15600,12245,0.784935897436,0.168955410072
narrow,16100,12583,0.781552795031,0.172537242626
narrow,16600,13072,0.787469879518,0.166272576853
narrow,17100,13397,0.783450292398,0.170528282499
narrow,17600,13832,0.785909090909,0.167925049283
narrow,18100,14271,0.788453038674,0.165231664977
narrow,18600,14623,0.786182795699,0.16763526653
narrow,19100,15056,0.788272251309,0.165423072151
narrow,19600,15354,0.783367346939,0.170616100338
narrow,20100,15770,0.784577114428,0.169335268706
narrow,20600,16250,0.788834951456,0.16482731788
narrow,21100,16557,0.784691943128,0.16921369474
narrow,21600,16916,0.783148148148,0.170848175301
narrow,22100,17369,0.78592760181,0.167905451015
narrow,22600,17698,0.783097345133,0.170901962586
narrow,23100,18196,0.787705627706,0.166022980349
narrow,23600,18524,0.784915254237,0.168977265893
narrow,24100,18946,0.786141078838,0.167679433922
narrow,24600,19373,0.787520325203,0.166219167888
narrow,25100,19670,0.783665338645,0.170300604007
narrow,25600,20147,0.7869921875,0.166778329448
narrow,26100,20583,0.788620689655,0.165054165844
narrow,26600,20899,0.785676691729,0.168171100051
narrow,27100,21172,0.781254612546,0.172852940942
narrow,27600,21709,0.786557971014,0.167238052672
narrow,28100,22000,0.782918149466,0.171091684562
narrow,28600,22471,0.785699300699,0.168147162986
narrow,29100,22813,0.783951890034,0.169997220021
narrow,29600,23246,0.785337837838,0.168529858893
narrow,30100,23740,0.788704318937,0.164965624013
narrow,30600,24083,0.787026143791,0.166742378497
narrow,31100,24350,0.782958199357,0.171049282061
narrow,31600,24733,0.782689873418,0.171333369999
narrow,32100,25187,0.784641744548,0.169266842084
narrow,32600,25581,0.784693251534,0.169212309476
narrow,33100,25974,0.784712990937,0.169191410541
narrow,33600,26339,0.783898809524,0.170053418586
narrow,34100,26752,0.784516129032,0.169399836505
narrow,34600,27252,0.787630057803,0.166102989377
narrow,35100,27537,0.78452991453,0.16938524122
narrow,35600,28024,0.787191011236,0.166567826411
narrow,36100,28368,0.785817174515,0.168022365028
narrow,36600,28786,0.78650273224,0.167296536281
narrow,37100,29076,0.78371967655,0.170243074187
narrow,37600,29449,0.783218085106,0.170774130107
narrow,38100,29935,0.785695538058,0.168151146652
narrow,38600,30312,0.785284974093,0.168585827959
narrow,39100,30843,0.788823529412,0.164839410878
narrow,39600,31106,0.785505050505,0.168352823822
narrow,40100,31736,0.791421446384,0.162088887107
narrow,40600,31866,0.784876847291,0.16901792894
narrow,41100,32341,0.786885644769,0.166891130711
narrow,41600,32691,0.785841346154,0.167996773499
narrow,42100,33097,0.786152019002,0.167667851111
narrow,42600,33339,0.782605633803,0.171422558016
narrow,43100,33787,0.783921113689,0.17002980423
narrow,43600,34162,0.783532110092,0.170441658671
narrow,44100,34714,0.78716553288,0.166594801417
narrow,44600,34924,0.783049327354,0.170952801024
narrow,45100,35356,0.783946784922,0.170002625018
narrow,45600,35812,0.785350877193,0.16851605358
narrow,46100,36449,0.790650759219,0.162904845965
narrow,46600,36729,0.788175965665,0.165525013804
narrow,47100,36942,0.784331210191,0.169595617846
narrow,47600,37440,0.786554621849,0.167241598574
narrow,48100,38090,0.791891891892,0.161590806696
narrow,48600,38086,0.78366255144,0.170303554938
narrow,49100,38572,0.785580448065,0.168272997259
narrow,49600,39033,0.786955645161,0.166817018356
narrow,50100,39468,0.787784431138,0.165939547847
narrow,50600,39733,0.78523715415,0.16863645694
narrow,51100,40196,0.786614481409,0.167178222745
narrow,51600,40562,0.786085271318,0.167738519687
narrow,52100,40933,0.7856621881,0.168186455653
narrow,52600,41230,0.783840304183,0.170115360647
narrow,53100,41643,0.784237288136,0.169695057069
narrow,53600,42120,0.785820895522,0.168018425441
narrow,54100,42526,0.78606284658,0.167762261698
narrow,54600,42857,0.784926739927,0.168965105511
narrow,55100,43334,0.786460980036,0.167340741093
narrow,55600,43594,0.784064748201,0.169877732341
narrow,56100,44130,0.786631016043,0.167160716834
narrow,56600,44472,0.785724381625,0.168120608756
narrow,57100,44947,0.787162872154,0.166597618439
narrow,57600,45169,0.784184027778,0.169751446046
narrow,58100,45664,0.78595524957,0.167876179171
narrow,58600,45930,0.783788395904,0.170170318121
narrow,59100,46377,0.784720812183,0.16918312986
narrow,59600,46845,0.785989932886,0.167839458488
narrow,60100,47231,0.785873544093,0.167962684189
narrow,60600,47838,0.789405940594,0.164222787707
narrow,61100,47934,0.784517184943,0.169398718568
narrow,61600,48309,0.784237012987,0.16969534838
narrow,62100,48727,0.784653784219,0.169254095179
narrow,62600,49263,0.786948881789,0.166824179023
narrow,63100,49607,0.78616481775,0.16765430054
narrow,63600,49806,0.783113207547,0.170885168382
narrow,64100,50351,0.785507020281,0.168350738338
narrow,64600,50811,0.786547987616,0.167248622515
narrow,65100,51160,0.785867895545,0.167968664544
narrow,65600,51564,0.786036585366,0.167790065548
narrow,66100,51901,0.785189107413,0.168687326038
narrow,66600,52164,0.783243243243,0.170747494131
narrow,67100,52754,0.786199701937,0.167617367186
narrow,67600,53055,0.784837278107,0.169059822496
narrow,68100,53465,0.785095447871,0.168786487328
narrow,68600,53783,0.784008746356,0.169937023847
narrow,69100,54239,0.78493487699,0.168956490461
narrow,69600,54565,0.783979885057,0.169967580515
narrow,70100,54906,0.783252496434,0.17073769739
narrow,70600,55567,0.787067988669,0.166698075569
narrow,71100,55777,0.784486638537,0.16943105933
narrow,71600,56150,0.784217877095,0.169715608353
narrow,72100,56645,0.785644937587,0.168204719495
narrow,72600,57032,0.785564738292,0.168289629856
narrow,73100,57504,0.786648426813,0.167142283321
narrow,73600,57773,0.78495923913,0.16893069724
narrow,74100,58138,0.784588394062,0.169323326484
narrow,74600,58530,0.784584450402,0.169327501802
narrow,75100,59060,0.786418109188,0.16738613026
narrow,75600,59422,0.786005291005,0.167823198202
narrow,76100,59753,0.785190538765,0.168685810606
narrow,76600,60209,0.786018276762,0.167809449636
narrow,77100,60571,0.785616083009,0.168235269048
narrow,77600,60728,0.782577319588,0.171452535464
narrow,78100,61308,0.784993597951,0.168894320114
narrow,78600,61884,0.787328244275,0.166422532031
narrow,79100,62046,0.784399494311,0.169523322581
narrow,79600,62340,0.783165829146,0.170829455686
narrow,80100,62775,0.783707865169,0.170255579392
narrow,80600,63291,0.785248138958,0.168624826863
narrow,81100,63701,0.785462392109,0.168397988057
narrow,81600,64327,0.788321078431,0.165371376826
narrow,82100,64439,0.784884287454,0.169010051726
narrow,82600,64690,0.783171912833,0.170823014631
narrow,83100,65250,0.785198555957,0.168677322468
narrow,83600,65423,0.782571770335,0.171458410691
narrow,84100,66005,0.784839476813,0.169057494633
narrow,84600,66664,0.787990543735,0.165721327786
narrow,85100,66838,0.785405405405,0.168458322272
narrow,85600,67271,0.785876168224,0.167959905911
narrow,86100,67732,0.786666666667,0.167122972021
narrow,86600,67902,0.784087759815,0.16985336898
narrow,87100,68489,0.786326061998,0.167483584485
narrow,87600,68683,0.784052511416,0.16989068794
narrow,88100,69344,0.787105561862,0.166658295252
narrow,88600,69457,0.783939051919,0.170010812273
narrow,89100,69999,0.785622895623,0.168228056248
narrow,89600,70412,0.785848214286,0.16798950192
narrow,90100,70903,0.786936736959,0.166837037264
narrow,90600,71207,0.785949227373,0.167882555123
narrow,91100,71645,0.786443468716,0.167359281063
narrow,91600,71903,0.784967248908,0.168922216952
narrow,92100,72436,0.786492942454,0.167306901139
narrow,92600,72514,0.783088552916,0.170911271276
narrow,93100,73081,0.784973147154,0.168915972232
narrow,93600,73740,0.787820512821,0.165901346654
narrow,94100,73857,0.784877789586,0.169016931293
narrow,94600,74282,0.785221987315,0.168652514705
narrow,95100,74852,0.787087276551,0.166677654678
narrow,95600,75340,0.788075313808,0.165631578152
narrow,96100,75440,0.785015608741,0.168871016367
narrow,96600,76032,0.787080745342,0.166684569543
narrow,97100,76216,0.784922760041,0.168969319183
narrow,97600,76763,0.786506147541,0.167292920359
narrow,98100,77074,0.785667686035,0.168180634758
narrow,98600,77485,0.785851926978,0.167985571137
narrow,99100,77923,0.786306760848,0.167504019423
narrow,99600,78413,0.787279116466,0.166474545705
