type,n,threshold,mean_ms,median_ms,min_ms,max_ms,runs
random,500,-,0.0429429,0.041,0.039,0.0556,7
reverse,500,-,0.0242714,0.0238,0.0236,0.0258,7
almost,500,-,0.0240143,0.0237,0.0235,0.0255,7
random,500,5,0.0347857,0.033,0.032,0.0426,7
reverse,500,5,0.0209857,0.0208,0.0206,0.022,7
almost,500,5,0.019,0.0187,0.0182,0.0204,7
random,500,10,0.0309286,0.0301,0.0289,0.0357,7
reverse,500,10,0.0214143,0.0213,0.0212,0.0224,7
almost,500,10,0.0165714,0.0164,0.0164,0.0175,7
random,500,15,0.0300571,0.0294,0.0286,0.0329,7
reverse,500,15,0.0239429,0.0231,0.0226,0.0294,7
almost,500,15,0.0159286,0.0158,0.0156,0.0171,7
random,500,20,0.0290286,0.0286,0.0273,0.0324,7
reverse,500,20,0.0259571,0.0258,0.0257,0.0269,7
almost,500,20,0.0135143,0.0134,0.0132,0.0141,7
random,500,30,0.0283,0.028,0.0275,0.0301,7
reverse,500,30,0.0258,0.0257,0.0256,0.0264,7
almost,500,30,0.0133571,0.0133,0.0131,0.0139,7
random,500,50,0.0299429,0.0294,0.0288,0.0322,7
reverse,500,50,0.0327857,0.0334,0.0314,0.034,7
almost,500,50,0.0107857,0.0107,0.0105,0.0113,7
random,1500,-,0.161157,0.163,0.1546,0.1641,7
reverse,1500,-,0.0934286,0.0874,0.0869,0.1123,7
almost,1500,-,0.0885286,0.0857,0.0852,0.0978,7
random,1500,5,0.172671,0.1712,0.1683,0.186,7
reverse,1500,5,0.0875143,0.0859,0.0855,0.0929,7
almost,1500,5,0.126357,0.1235,0.0906,0.1557,7
random,1500,10,0.183914,0.1673,0.1596,0.2338,7
reverse,1500,10,0.0804,0.0797,0.0789,0.0831,7
almost,1500,10,0.0677714,0.0674,0.0668,0.0703,7
random,1500,15,0.146957,0.1375,0.1292,0.1818,7
reverse,1500,15,0.0901857,0.0899,0.0887,0.0929,7
almost,1500,15,0.0532,0.0529,0.0525,0.0543,7
random,1500,20,0.128229,0.1278,0.1261,0.1302,7
reverse,1500,20,0.0743714,0.0718,0.0713,0.0889,7
almost,1500,20,0.0517857,0.0516,0.0515,0.0528,7
random,1500,30,0.120771,0.1201,0.1185,0.124,7
reverse,1500,30,0.104814,0.1046,0.1018,0.1072,7
almost,1500,30,0.0431286,0.0433,0.0422,0.0439,7
random,1500,50,0.138443,0.1377,0.1362,0.1424,7
reverse,1500,50,0.146743,0.1473,0.1448,0.1485,7
almost,1500,50,0.0361,0.0358,0.0356,0.037,7
random,5000,-,0.645986,0.637,0.6134,0.6983,7
reverse,5000,-,0.626943,0.3446,0.2979,2.1152,7
almost,5000,-,0.301557,0.299,0.2972,0.3109,7
random,5000,5,0.560657,0.5481,0.5366,0.5944,7
reverse,5000,5,0.312029,0.2974,0.2742,0.3681,7
almost,5000,5,0.268586,0.2671,0.2563,0.2854,7
random,5000,10,0.554657,0.5505,0.5389,0.5722,7
reverse,5000,10,0.288571,0.2921,0.2802,0.2978,7
almost,5000,10,0.237229,0.237,0.2335,0.2401,7
random,5000,15,0.558057,0.5443,0.538,0.6084,7
reverse,5000,15,0.298086,0.2977,0.2935,0.3059,7
almost,5000,15,0.238257,0.2308,0.2262,0.2792,7
random,5000,20,0.514329,0.5034,0.4935,0.5374,7
reverse,5000,20,0.392529,0.372,0.3144,0.58,7
almost,5000,20,0.197914,0.1926,0.1913,0.2279,7
random,5000,30,0.516486,0.5079,0.502,0.5446,7
reverse,5000,30,0.331843,0.3204,0.3147,0.3793,7
almost,5000,30,0.201671,0.2016,0.1997,0.2047,7
random,5000,50,0.631671,0.6077,0.531,0.7124,7
reverse,5000,50,0.431114,0.4327,0.4095,0.4512,7
almost,5000,50,0.161729,0.1602,0.1588,0.1674,7
random,20000,-,2.87916,2.8954,2.8067,2.9619,7
reverse,20000,-,1.51043,1.4942,1.4562,1.6243,7
almost,20000,-,1.4979,1.449,1.4104,1.6719,7
random,20000,5,2.64057,2.6019,2.5403,2.9341,7
reverse,20000,5,1.24827,1.2403,1.2223,1.2872,7
almost,20000,5,1.2172,1.196,1.1717,1.3083,7
random,20000,10,2.502,2.4817,2.4471,2.606,7
reverse,20000,10,1.34384,1.3547,1.2881,1.4225,7
almost,20000,10,1.12731,1.1106,1.0673,1.2688,7
random,20000,15,2.72127,2.6698,2.4395,3.4117,7
reverse,20000,15,1.37043,1.3593,1.2858,1.6273,7
almost,20000,15,1.08269,1.0799,1.0573,1.1283,7
random,20000,20,2.48994,2.4756,2.4094,2.6161,7
reverse,20000,20,1.53257,1.5319,1.4209,1.6322,7
almost,20000,20,1.00296,0.9852,0.9475,1.0911,7
random,20000,30,2.59727,2.5476,2.4186,3.0031,7
reverse,20000,30,1.57513,1.4744,1.4308,1.7955,7
almost,20000,30,1.03369,0.9971,0.9608,1.2437,7
random,20000,50,4.11427,3.4161,2.5802,9.2573,7
reverse,20000,50,2.17699,2.1941,1.9534,2.3713,7
almost,20000,50,0.924357,0.9167,0.9056,0.9562,7
random,100000,-,16.9144,16.999,16.2279,17.4816,7
reverse,100000,-,9.09287,9.051,8.2424,10.1373,7
almost,100000,-,9.1515,9.3346,8.5895,9.7815,7
random,100000,5,15.8943,15.9654,15.2384,16.5146,7
reverse,100000,5,8.02064,8.1821,7.7148,8.2518,7
almost,100000,5,8.37377,8.3059,7.9918,8.8094,7
random,100000,10,15.7217,15.9956,14.5143,17.4043,7
reverse,100000,10,7.81891,7.7563,7.3886,8.534,7
almost,100000,10,7.62714,7.3255,6.9805,8.897,7
random,100000,15,14.5412,14.2808,14.1888,15.2155,7
reverse,100000,15,8.02869,8.1799,7.4309,8.4844,7
almost,100000,15,6.62677,6.5653,6.3798,7.0945,7
random,100000,20,14.7361,14.6822,14.1015,15.5446,7
reverse,100000,20,8.03201,7.9523,7.6804,8.502,7
almost,100000,20,6.76371,6.6185,6.2877,7.6227,7
random,100000,30,14.647,14.6725,14.3877,14.8627,7
reverse,100000,30,9.74137,9.6163,9.2075,10.4262,7
almost,100000,30,6.30787,6.2456,5.9916,6.6483,7
random,100000,50,15.5709,15.7799,14.3375,17.2588,7
reverse,100000,50,12.3057,12.1159,11.944,13.0738,7
almost,100000,50,5.62027,5.6363,5.5166,5.7094,7
